MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS (L),TRANSMISSION,FUEL TYPE,FUEL CONS: CITY (L/100 km),FUEL CONS: HWY (L/100 km),FUEL CONS:COMB (L/100 km),FUEL CONS:COMB (mpg),CO2 RATING,SMOG RATING,CO2 EMISSIONS(g/km) 
CHEVROLET,CRUZE DIESEL,COMPACT,1.6,4,M6,D,7.8,4.6,6.3,45,7,3,170
CHEVROLET,CRUZE HATCHBACK,MID-SIZE,1.4,4,AS6,X,8.1,6.2,7.3,39,7,6,172
CHEVROLET,CRUZE HATCHBACK,MID-SIZE,1.4,4,M6,X,8.6,6.2,7.5,38,7,6,175
CHEVROLET,CRUZE HATCHBACK PREMIER,MID-SIZE,1.4,4,AS6,X,8.4,6.4,7.5,38,7,6,176
CHEVROLET,CRUZE HATCHBACK DIESEL,MID-SIZE,1.6,4,A9,D,7.8,5.2,6.6,43,7,3,178
CHEVROLET,CRUZE HATCHBACK DIESEL,MID-SIZE,1.6,4,M6,D,8.1,4.9,6.7,42,7,3,180
CHEVROLET,EQUINOX,SUV - SMALL,1.5,4,A6,X,9.2,7.3,8.3,34,6,5,195
CHEVROLET,EQUINOX,SUV - SMALL,1.6,4,A6,D,8.5,6,7.4,38,6,3,198
CHEVROLET,EQUINOX AWD,SUV - SMALL,1.5,4,A6,X,9.8,7.9,8.9,32,5,5,209
CHEVROLET,EQUINOX AWD,SUV - SMALL,1.6,4,A6,D,8.5,6.1,7.4,38,6,3,198
CHEVROLET,EQUINOX AWD,SUV - SMALL,2,4,A9,Z,10.9,8.3,9.7,29,5,5,228
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.9,7.9,9.5,30,5,3,224
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,X,12.7,8.5,10.8,26,4,5,254
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,E,17.2,11.6,14.6,19,5,5,245
CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,7,6,181
CHEVROLET,MALIBU,MID-SIZE,2,4,A9,Z,10.5,7.4,9.1,31,5,5,213
CHEVROLET,MALIBU HYBRID,MID-SIZE,1.8,4,AV,X,4.8,5.5,5.1,55,10,3,121
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,10,11.8,24,4,5,278
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,19.3,14.4,17.1,17,3,5,284
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,3,3,298
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,3,3,298
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.7,13.9,17.1,17,4,3,283
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.9,10.9,13.1,22,3,3,307
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,15.9,11.2,13.8,20,3,3,324
CHEVROLET,SILVERADO eASSIST,PICKUP TRUCK - STANDARD,5.3,8,A8,X,13.4,10,11.8,24,4,3,278
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,14.1,10.6,12.5,23,3,5,294
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.2,15.2,18,16,3,5,296
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15,10.7,13.1,22,3,3,307
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15,10.7,13.1,22,3,3,307
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21,15,18.3,15,3,3,309
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.6,11.6,13.8,20,3,3,324
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16,11.7,14.1,20,3,3,331
CHEVROLET,SILVERADO eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.4,11.2,13,22,3,3,304
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,8.8,6.6,7.8,36,7,3,184
